birthCity,birthState,birthYear,lat,long
Seattle,WA,1982,47.620499,-122.350876
Sebastian,FL,1986,27.787857,-80.482403
Selma,CA,1983,36.574308,-119.615583
Senoia,GA,1991,33.307634,-84.554770
Seward,NE,1984,40.909211,-97.096095
Shawnee,OK,1991,35.363903,-96.960453
Shelby,NC,1980,35.287902,-81.541127
Shreveport,LA,1982,32.466879,-93.792193
Shreveport,LA,1981,32.466879,-93.792193
Shreveport,LA,1982,32.466879,-93.792193
Shreveport,LA,1987,32.466879,-93.792193
Shreveport,LA,1988,32.466879,-93.792193
Shreveport,LA,1992,32.466879,-93.792193
Sikeston,MO,1985,36.888669,-89.586865
Sikeston,MO,1985,36.888669,-89.586865
Silver Spring,MD,1986,39.002441,-77.020791
Silver Spring,MD,1980,39.002441,-77.020791
Silver Spring,MD,1980,39.002441,-77.020791
Simi Valley,CA,1981,34.266887,-118.748458
Simi Valley,CA,1989,34.266887,-118.748458
Simi Valley,CA,1981,34.266887,-118.748458
Simi Valley,CA,1987,34.266887,-118.748458
Sioux City,IA,1982,,
Sioux City,IA,1985,,
Sioux Falls,SD,1987,43.538335,-96.731998
Slidell,LA,1980,30.289342,-89.783279
Slidell,LA,1989,30.289342,-89.783279
Slidell,LA,1985,30.289342,-89.783279
Smyrna,GA,1990,33.862325,-84.507955
Somerset,KY,1982,37.079071,-84.608672
Sonora,CA,1982,37.981692,-120.382663
Souderton,PA,1986,40.311002,-75.322351
South Boston,VA,1987,36.711825,-78.913354
South Miami,FL,1989,25.708550,-80.295105
South Orange,NJ,1983,,
South Portland,ME,1986,43.631402,-70.285989
